id,rank,player,age_that_year,hits,year,bats
299,,Bret Boone,32,206,2001,R
300,,Lou Brock,28,206,1967,L
301,,Dave Cash,26,206,1974,R
302,,Vinny Castilla,30,206,1998,R
303,,Fred Clarke,26,206,1899,L
304,,Joe DiMaggio,21,206,1936,R
305,,Taylor Douthit,28,206,1929,R
306,,Johnny Frederick,27,206,1929,L
307,,Johnny Frederick,28,206,1930,L
308,,Luis Gonzalez,31,206,1999,L
309,,Vladimir Guerrero,27,206,2002,R
310,,Vladimir Guerrero,29,206,2004,R
311,,Billy Herman,22,206,1932,R
312,,Derek Jeter,33,206,2007,R
313,,Willie Montanez,28,206,1976,L
314,,Jim Rice,24,206,1977,R
315,,Lance Richbourg,30,206,1928,L
316,,Ichiro Suzuki,31,206,2005,L
317,,Mike Sweeney,26,206,2000,R
318,,Hal Trosky,21,206,1934,L
319,,Lou Whitaker,26,206,1983,L
320,320,Richie Ashburn,26,205,1953,L
321,,Carlos Baerga,23,205,1992,B
322,,Wade Boggs,31,205,1989,L
323,,Al Bumbry,33,205,1980,L
324,,Miguel Cabrera,29,205,2012,R
325,,Fred Clarke,24,205,1897,L
326,,Cecil Cooper,32,205,1982,L
327,,Jake Daubert,38,205,1922,L
328,,Lou Gehrig,33,205,1936,L
329,,Jack Glasscock,31,205,1889,R
330,,Dee Gordon,27,205,2015,L
331,,Rogers Hornsby,31,205,1927,R
332,,Jo-Jo Moore,27,205,1936,L
333,,Stan Musial,30,205,1951,L
334,,Johnny Pesky,23,205,1942,L
335,,Vada Pinson,20,205,1959,L
336,,Pete Rose,25,205,1966,B
337,,Pete Rose,29,205,1970,B
338,,Babe Ruth,28,205,1923,L
339,,Steve Sax,29,205,1989,R
340,,George Sisler,36,205,1929,L
341,,Snuffy Stirnweiss,25,205,1944,R
342,,Alan Trammell,29,205,1987,R
343,,Mo Vaughn,30,205,1998,L
344,,Mickey Vernon,35,205,1953,L
345,,Billy Williams,32,205,1970,L
346,346,Jose Altuve,27,204,2017,R
