Rank,Player,AgeThatYear,Hits,Year,Bats,id
,Derek Jeter,33,206,2007,R,312
,Willie Montanez,28,206,1976,L,313
,Jim Rice,24,206,1977,R,314
,Lance Richbourg,30,206,1928,L,315
,Ichiro Suzuki,31,206,2005,L,316
,Mike Sweeney,26,206,2000,R,317
,Hal Trosky,21,206,1934,L,318
,Lou Whitaker,26,206,1983,L,319
320,Richie Ashburn,26,205,1953,L,320
,Carlos Baerga,23,205,1992,B,321
,Wade Boggs,31,205,1989,L,322
,Al Bumbry,33,205,1980,L,323
,Miguel Cabrera,29,205,2012,R,324
,Fred Clarke,24,205,1897,L,325
,Cecil Cooper,32,205,1982,L,326
,Jake Daubert,38,205,1922,L,327
,Lou Gehrig,33,205,1936,L,328
,Jack Glasscock,31,205,1889,R,329
,Dee Gordon,27,205,2015,L,330
,Rogers Hornsby,31,205,1927,R,331
,Jo-Jo Moore,27,205,1936,L,332
,Stan Musial,30,205,1951,L,333
,Johnny Pesky,23,205,1942,L,334
,Vada Pinson,20,205,1959,L,335
,Pete Rose,25,205,1966,B,336
,Pete Rose,29,205,1970,B,337
,Babe Ruth,28,205,1923,L,338
,Steve Sax,29,205,1989,R,339
,George Sisler,36,205,1929,L,340
,Snuffy Stirnweiss,25,205,1944,R,341
,Alan Trammell,29,205,1987,R,342
,Mo Vaughn,30,205,1998,L,343
,Mickey Vernon,35,205,1953,L,344
,Billy Williams,32,205,1970,L,345
346,Jose Altuve,27,204,2017,R,346
,Luke Appling,29,204,1936,R,347
,Carson Bigbee,26,204,1921,L,348
,Robinson Cano,26,204,2009,L,349
,Jimmie Foxx,25,204,1933,R,350
,Steve Garvey,30,204,1979,R,351
,Charlie Gehringer,30,204,1933,L,352
,Doug Glanville,28,204,1999,R,353
,Hughie Jennings,26,204,1895,R,354
,Willie Keeler,28,204,1900,L,355
,Heinie Manush,27,204,1929,L,356
,Irish Meusel,29,204,1922,R,357
,Dale Mitchell,26,204,1948,L,358
,Johnny Mize,24,204,1937,L,359
,Ed Morgan,26,204,1930,R,360
,Tony Oliva,31,204,1970,L,361
,Al Oliver,35,204,1982,L,362
,Juan Pierre,25,204,2003,L,363
,Juan Pierre,28,204,2006,L,364
,Vada Pinson,24,204,1963,L,365
,Vada Pinson,26,204,1965,L,366
,Jose Reyes,25,204,2008,B,367
,Pete Rose,36,204,1977,B,368
,Babe Ruth,26,204,1921,L,369
,Joe Sewell,26,204,1925,L,370
,Milt Stock,26,204,1920,R,371
,Bill Sweeney,26,204,1912,R,372
,Miguel Tejada,28,204,2002,R,373
,Cesar Tovar,30,204,1971,R,374
,George Van Haltren,32,204,1898,L,375
,Bernie Williams,33,204,2002,B,376
,Michael Young,26,204,2003,R,377
,Ross Youngs,23,204,1920,L,378
379,Wade Boggs,26,203,1984,L,379
,Ryan Braun,25,203,2009,R,380
,Jesse Burkett,31,203,1900,L,381
,Rod Carew,27,203,1973,L,382
,Earle Combs,26,203,1925,L,383
,Cecil Cooper,33,203,1983,L,384
,Joe Cronin,23,203,1930,R,385
,Hugh Duffy,26,203,1893,R,386
,Augie Galan,23,203,1935,B,387
,Hank Greenberg,24,203,1935,R,388
,Tony Gwynn,29,203,1989,L,389
,Rogers Hornsby,29,203,1925,R,390
,Woody Jensen,27,203,1935,L,391
,Derek Jeter,24,203,1998,R,392
,Jimmy Johnston,31,203,1921,R,393
,Jimmy Johnston,33,203,1923,R,394
,Hank Leiber,24,203,1935,R,395
,Dale Mitchell,27,203,1949,L,396
,Rafael Palmeiro,26,203,1991,L,397
,Jackie Robinson,30,203,1949,R,398
,Jean Segura,26,203,2016,R,399
,Ruben Sierra,25,203,1991,B,400
,Stan Spence,27,203,1942,L,401
,Miguel Tejada,30,203,2004,R,402
,Bill Terry,36,203,1935,L,403
,Sam Thompson,27,203,1887,L,404
,Joe Torre,29,203,1970,R,405
,Chase Utley,27,203,2006,L,406
,Billy Williams,27,203,1965,L,407
408,Lou Brock,31,202,1970,L,408
,Roberto Clemente,31,202,1966,R,409
,Earle Combs,30,202,1929,L,410
,Doc Cramer,28,202,1934,L,411
,Kiki Cuyler,32,202,1931,R,412
,Woody English,25,202,1931,R,413
,Steve Garvey,29,202,1978,R,414
,Vladimir Guerrero,23,202,1998,R,415
,Shoeless Joe Jackson,28,202,1916,L,416
,Derek Jeter,31,202,2005,R,417
,Alex Johnson,27,202,1970,R,418
,Willie Keeler,29,202,1901,L,419
,Bill Lamar,28,202,1925,L,420
,Wally Moses,25,202,1936,L,421
,Lefty O'Doul,33,202,1930,L,422
,Juan Pierre,23,202,2001,L,423
,Carl Reynolds,27,202,1930,R,424
,Sam Rice,38,202,1928,L,425
,Chick Stahl,26,202,1899,L,426
,Shannon Stewart,27,202,2001,R,427
,Milt Stock,31,202,1925,R,428
,Fresco Thompson,27,202,1929,R,429
,Jack Tobin,28,202,1920,L,430
,Jack Tobin,31,202,1923,L,431
,Bobby Veach,34,202,1922,L,432
,Bernie Williams,30,202,1999,B,433
434,Hank Aaron,29,201,1963,R,434
,Dick Allen,22,201,1964,R,435
,Matty Alou,31,201,1970,L,436
,Garret Anderson,31,201,2003,L,437
,Eddie Brown,34,201,1926,R,438
,Bill Buckner,32,201,1982,L,439
,Bill Buckner,35,201,1985,L,440
,Melky Cabrera,26,201,2011,B,441
,Roberto Clemente,26,201,1961,R,442
,Ty Cobb,29,201,1916,L,443
,Taylor Douthit,29,201,1930,R,444
,Nellie Fox,26,201,1954,L,445
,Julio Franco,32,201,1991,R,446
,Charlie Gehringer,27,201,1930,L,447
,Charlie Gehringer,32,201,1935,L,448
,Dee Gordon,29,201,2017,L,449
,Goose Goslin,24,201,1925,L,450
,Goose Goslin,25,201,1926,L,451
,Hank Greenberg,23,201,1934,R,452
,Dick Groat,32,201,1963,R,453
,Mark Grudzielanek,26,201,1996,R,454
,Billy Hamilton,29,201,1895,L,455
,Harry Heilmann,32,201,1927,R,456
,Charlie Hollocher,26,201,1922,L,457
,Ender Inciarte,26,201,2017,L,458
,Derek Jeter,26,201,2000,R,459
,Roy Johnson,26,201,1929,L,460
,Harvey Kuenn,23,201,1954,R,461
,Austin McHenry,25,201,1921,R,462
,Joe Medwick,27,201,1939,R,463
,Irish Meusel,28,201,1921,R,464
,Paul Molitor,25,201,1982,R,465
,Jo-Jo Moore,26,201,1935,L,466
,Dustin Pedroia,32,201,2016,R,467
,Mike Piazza,28,201,1997,R,468
,Jim Rice,26,201,1979,R,469
,Alex Rodriguez,25,201,2001,R,470
,Al Rosen,29,201,1953,R,471
,George Sisler,34,201,1927,L,472
,Moose Solters,29,201,1935,R,473
,Joe Vosmik,28,201,1938,R,474
,Honus Wagner,26,201,1900,R,475
,Honus Wagner,34,201,1908,R,476
,Zack Wheat,34,201,1922,L,477
,Billy Williams,26,201,1964,L,478
,Jack Wilson,26,201,2004,R,479
,Michael Young,30,201,2007,R,480
481,Hank Aaron,22,200,1956,R,481
,Jose Altuve,25,200,2015,R,482
,Carlos Baerga,24,200,1993,B,483
,Home Run Baker,26,200,1912,L,484
,Buddy Bell,27,200,1979,R,485
,Albert Belle,31,200,1998,R,486
,Adrian Beltre,25,200,2004,R,487
,Wade Boggs,29,200,1987,L,488
,Bobby Bonds,24,200,1970,R,489
,Michael Brantley,27,200,2014,L,490
,Lou Brock,25,200,1964,L,491
,Lou Brock,32,200,1971,L,492
,Dick Burrus,27,200,1925,L,493
,Robinson Cano,27,200,2010,L,494
,Rod Carew,30,200,1976,L,495
,Joe Carter,26,200,1986,R,496
,Ripper Collins,30,200,1934,B,497
,Doc Cramer,34,200,1940,L,498
,Ed Delahanty,26,200,1894,R,499
,Ed Delahanty,29,200,1897,R,500
,Elmer Flick,24,200,1900,L,501
,Curt Flood,25,200,1963,R,502
,Chick Fullis,32,200,1933,R,503
,Ralph Garr,27,200,1973,L,504
,Steve Garvey,25,200,1974,R,505
,Steve Garvey,27,200,1976,R,506
,Steve Garvey,31,200,1980,R,507
,Lou Gehrig,34,200,1937,L,508
,Hank Greenberg,26,200,1937,R,509
,Vladimir Guerrero,31,200,2006,R,510
,Al Kaline,20,200,1955,R,511
,Chuck Klein,26,200,1931,L,512
,Barney McCosky,23,200,1940,L,513
,Stan Musial,32,200,1953,L,514
,John Olerud,24,200,1993,L,515
,Placido Polanco,31,200,2007,R,516
,Rip Radcliff,34,200,1940,L,517
,Jim Rice,33,200,1986,R,518
,Phil Rizzuto,32,200,1950,R,519
,Babe Ruth,29,200,1924,L,520
,Freddy Sanchez,28,200,2006,R,521
,Ryne Sandberg,24,200,1984,R,522
,Red Schoendienst,34,200,1957,B,523
,Al Simmons,29,200,1931,R,524
,Al Simmons,31,200,1933,R,525
,Garry Templeton,21,200,1977,B,526
,Randy Velarde,36,200,1999,R,527
,Jose Vidro,25,200,2000,B,528
,Dick Wakefield,22,200,1943,L,529
,Paul Waner,26,200,1929,L,530
,Billy Werber,26,200,1934,R,531
,Bill White,29,200,1963,L,532
,Pinky Whitney,24,200,1929,R,533
,Ross Youngs,26,200,1923,L,534
